query_id,tipo,query,rr_bm25,recall10_bm25,rr_dense,recall10_dense,rr_hybrid,recall10_hybrid,mejor_individual,hibrido_vs_individual
q01,lexica,función de ranking Okapi BM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q02,lexica,tf-idf frecuencia inversa de documento,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q03,lexica,índice invertido en recuperación de información,1.0,1.0,0.125,1.0,0.5,1.0,1.0,-0.5
q04,lexica,reconocimiento de entidades nombradas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q05,lexica,similitud coseno entre dos vectores,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q06,lexica,modelo word2vec skip-gram y bolsa continua de palabras,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q07,lexica,análisis de sentimiento de opiniones,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q08,lexica,traducción automática estadística y neuronal,1.0,1.0,1.0,1.0,0.5,1.0,1.0,-0.5
q09,lexica,mecanismo de atención en aprendizaje automático,0.333,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q10,lexica,precisión y exhaustividad como métricas de evaluación,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q11,lexica,tareas del procesamiento de lenguaje natural,1.0,1.0,1.0,1.0,0.5,1.0,1.0,-0.5
q12,semantica,cómo puntuar la pertinencia de un texto frente a las palabras buscadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q13,semantica,representar palabras como vectores numéricos que capturan su significado,0.25,0.5,0.5,1.0,1.0,1.0,0.5,0.5
q14,semantica,convertir un texto de un idioma a otro sin intervención humana,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0
q15,semantica,"identificar nombres de personas, lugares y organizaciones en un documento",1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0
q16,semantica,medir el parecido de dos textos por el ángulo entre sus representaciones,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q17,semantica,determinar si una reseña expresa una opinión favorable o desfavorable,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q18,semantica,sistema que localiza páginas web pertinentes para lo que pide el usuario,0.5,1.0,1.0,1.0,0.5,1.0,1.0,-0.5
q19,semantica,asignar probabilidad a la siguiente palabra de una secuencia,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q20,semantica,hacer que una máquina aprenda a partir de ejemplos en lugar de reglas fijas,0.0,0.0,1.0,1.0,0.333,1.0,1.0,-0.667
q21,semantica,estructura de cómputo inspirada en las neuronas del cerebro,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0
q22,semantica,buscar por el significado de la consulta y no por coincidencia exacta de palabras,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q23,dificil,diferencia entre recuperación por palabras clave y búsqueda semántica,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q24,dificil,cómo se relacionan el mecanismo de atención y la arquitectura transformador,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q25,dificil,papel de los n-gramas en los modelos de lenguaje,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q26,dificil,métricas para evaluar la calidad de un sistema de recuperación,0.2,0.5,1.0,1.0,1.0,1.0,1.0,0.0
q27,dificil,relación entre los embeddings de palabras y word2vec,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0
q28,dificil,modelo de bolsa de palabras usado por tf-idf y BM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q29,dificil,uso de redes neuronales en la traducción automática,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q30,dificil,subtareas del procesamiento de lenguaje natural como el reconocimiento de entidades y el análisis de sentimiento,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0
q31,dificil,vectorizar documentos para compararlos en un espacio vectorial,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0
q32,dificil,cómo un motor de búsqueda indexa grandes colecciones de documentos,0.333,1.0,1.0,1.0,0.5,1.0,1.0,-0.5
q33,dificil,aprender representaciones vectoriales de palabras con redes neuronales,1.0,1.0,0.5,1.0,0.5,1.0,1.0,-0.5
q34,lexica,lematización de palabras a su forma base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q35,lexica,etiquetado gramatical de las partes de la oración,1.0,1.0,0.333,1.0,1.0,1.0,1.0,0.0
q36,lexica,minería de textos para extraer información,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q37,lexica,propagación hacia atrás para entrenar redes neuronales,1.0,1.0,0.25,1.0,0.5,1.0,1.0,-0.5
q38,lexica,máquina de vectores de soporte,0.333,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q39,lexica,modelo oculto de Márkov,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q40,lexica,lingüística computacional,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q41,semantica,reducir una palabra a su raíz recortando los sufijos,1.0,1.0,0.333,1.0,1.0,1.0,1.0,0.0
q42,semantica,palabras muy frecuentes que se descartan al construir el índice,0.0,0.0,0.2,1.0,0.0,0.0,0.2,-0.2
q43,semantica,clasificador probabilístico que supone independencia entre los atributos,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q44,semantica,agrupar datos sin etiquetas en conjuntos de elementos parecidos,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q45,semantica,convertir la voz hablada en texto escrito automáticamente,0.5,1.0,0.5,1.0,0.333,1.0,0.5,-0.167
q46,semantica,medida de la incertidumbre o cantidad de información de una fuente,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
q47,semantica,red neuronal que procesa secuencias recordando estados anteriores,0.25,1.0,0.25,1.0,1.0,1.0,0.25,0.75
q48,dificil,representar documentos como vectores para calcular su relevancia,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0
q49,dificil,redes neuronales profundas con muchas capas ocultas,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0
q50,dificil,modelos de lenguaje basados en la arquitectura transformador como BERT,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0
q51,dificil,normalización de palabras: lematización frente a extracción de raíces,1.0,0.5,0.25,0.5,1.0,0.5,1.0,0.0
q52,dificil,distribución de la frecuencia de las palabras en un texto,0.5,0.5,0.0,0.0,0.333,0.5,0.5,-0.167
q53,dificil,algoritmos supervisados para clasificar textos,0.167,0.3333333333333333,0.2,0.3333333333333333,0.333,0.3333333333333333,0.2,0.133
q54,dificil,sistemas que recomiendan contenido según las preferencias del usuario,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.0
